Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,94.790001,96.070000,93.580002,94.260002,92.656006,47227900
2018-02-02,93.639999,93.970001,91.500000,91.779999,90.218201,47867800
2018-02-05,90.559998,93.239998,88.000000,88.000000,86.502533,51031500
2018-02-06,86.889999,91.480003,85.250000,91.330002,89.775864,67998600
2018-02-07,90.489998,91.769997,89.199997,89.610001,88.085136,41107600
2018-02-08,89.709999,89.879997,84.760002,85.010002,83.563408,55628700
2018-02-09,86.300003,88.930000,83.830002,88.180000,86.679474,63499100
2018-02-12,88.739998,89.779999,87.930000,89.129997,87.613297,35720300
2018-02-13,88.930000,90.000000,87.800003,89.830002,88.301384,26407700
2018-02-14,88.510002,90.989998,88.410004,90.809998,89.684029,34960900
2018-02-15,91.209999,92.720001,90.620003,92.660004,91.511101,27823900
2018-02-16,92.449997,93.500000,91.800003,92.000000,90.859276,30596900
2018-02-20,91.480003,93.059998,91.010002,92.720001,91.570351,30911700
2018-02-21,92.980003,93.360001,91.489998,91.489998,90.355598,26922500
2018-02-22,92.050003,92.730003,91.360001,91.730003,90.592628,24392800
2018-02-23,93.599998,94.070000,92.360001,94.059998,92.893738,26329200
2018-02-26,94.400002,95.449997,94.250000,95.419998,94.236862,30199800
2018-02-27,95.739998,95.839996,94.199997,94.199997,93.031998,25869100
2018-02-28,94.839996,95.709999,93.629997,93.769997,92.607330,31167300
